party_communist_0_AAB;共产党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_AAB;保守党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_AAB;自由党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_AAB;人民党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_AAB;进步党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AAB;社会党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_AAB;传统党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ABK;共产党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ABK;保守党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ABK;自由党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ABK;人民党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ABK;进步党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ABK;社会党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ABK;传统党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ABZ;共产党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ABZ;保守党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ABZ;自由党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ABZ;人民党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ABZ;进步党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ABZ;社会党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ABZ;传统党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ADJ;共产党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ADJ;保守党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ADJ;自由党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ADJ;人民党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ADJ;进步党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ADJ;社会党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ADJ;传统党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ADL;共产党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ADL;保守党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ADL;自由党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ADL;人民党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ADL;进步党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ADL;社会党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ADL;传统党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AFG;伊斯兰促进会;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_AFG;伊斯兰统一党;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
