;;;;;;;;;;;;x,,,,,,,
good_farmland;优质耕地;;;;;;;;;;x
floodplain_farmland;泛滥平原耕地;;;;;;;;;;x
marginal_farmland;贫瘠耕地;;;;;;;;;;x
hilly_farmland;丘陵耕地;;;;;;;;;;x
mountain_farmland;高山耕地;;;;;;;;;;x
forested_farmland;森林耕地;;;;;;;;;;x
jungle_farmland;丛林耕地;;;;;;;;;;x
temperate_grassland;温带草原;;;;;;;;;;x
dry_grassland;干旱草原;;;;;;;;;;x
hilly_grassland;丘陵草地;;;;;;;;;;x
mountain_grassland;高山草地;;;;;;;;;;x
semi_desert;半荒漠;;;;;;;;;;x
semi_desert_hills;半荒漠丘陵;;;;;;;;;;x
semi_desert_mountains;半荒漠高山;;;;;;;;;;x
desert_hills;荒漠丘陵;;;;;;;;;;x
desert_mountains;荒漠高山;;;;;;;;;;x
dry_forest;干燥森林;;;;;;;;;;x
dry_forest_hills;干燥森林丘陵;;;;;;;;;;x
dry_forest_mountains;干燥森林高山;;;;;;;;;;x
deciduous_forest;温带森林;;;;;;;;;;x
deciduous_forest_hills;温带森林丘陵;;;;;;;;;;x
deciduous_forest_mountains;温带森林高山;;;;;;;;;;x
conifer_forest;亚寒带森林;;;;;;;;;;x
conifer_forest_hills;亚寒带森林丘陵;;;;;;;;;;x
conifer_forest_mountains;亚寒带森林高山;;;;;;;;;;x
boreal_forest;寒带森林;;;;;;;;;;x
boreal_forest_hills;寒带森林丘陵;;;;;;;;;;x
boreal_forest_mountains;寒带森林高山;;;;;;;;;;x
jungle_hills;丛林丘陵;;;;;;;;;;x
jungle_mountains;丛林高山;;;;;;;;;;x
seasonal_jungle;雨林;;;;;;;;;;x
seasonal_jungle_hills;雨林丘陵;;;;;;;;;;x
seasonal_jungle_mountains;雨林高山;;;;;;;;;;x
cold_desert;高寒荒漠;;;;;;;;;;x
cold_desert_hills;寒漠丘陵;;;;;;;;;;x
cold_desert_mountains;寒漠山地;;;;;;;;;x
tundra;苔原;;;;;;;;;;x
tundra_hills;苔原丘陵;;;;;;;;;;x
tundra_mountains;苔原高山;;;;;;;;;;x
boreal_marsh;寒带湿地;;;;;;;;;;x
swamp_jungle;湿地丛林;;;;;;;;;;x
coastal_desert;海岸荒漠;;;;;;;;;;x
rich_farmland;富饶耕地;;;;;;;;;;x
canal_kiel;基尔运河;;;;;;;;;;x
canal_panama;巴拿马运河;;;;;;;;;;x
canal_suez;苏伊士运河;;;;;;;;;;x
canal_nicaragua;尼加拉瓜运河;;;;;;;;;;x
special_belize;特殊地形-伯利兹;;;;;;;;;;x
special_cayenne;特殊地形-卡宴;;;;;;;;;;x
special_chisinau;特殊地形-基希讷乌;;;;;;;;;;x
special_georgetown;特殊地形-乔治敦;;;;;;;;;;x
special_gibraltar;特殊地形-直布罗陀;;;;;;;;;;x
special_grand_canyon;特殊地形-大峡谷;;;;;;;;;;x
special_honolulu;特殊地形-火奴鲁鲁;;;;;;;;;;x
special_kathmandu;特殊地形-加德满都;;;;;;;;;;x
special_kingston;特殊地形-金斯敦;;;;;;;;;;x
special_lhasa;特殊地形-拉萨;;;;;;;;;;x
special_paramaribo;特殊地形-帕拉马里博;;;;;;;;;;x
special_malta;特殊地形-马耳他;;;;;;;;;;x
special_port_moresby;特殊地形-莫尔兹比港;;;;;;;;;;x
special_nuuk;特殊地形-努克;;;;;;;;;;x
special_reykjavik;特殊地形-雷克雅维克;;;;;;;;;;x
special_thimphu;特殊地形-廷布;;;;;;;;;;x
special_victoria_falls;特殊地形-维多利亚瀑布;;;;;;;;;;x
urban_abu_dubai;大都市-迪拜;;;;;;;;;;x
urban_agra;大都市-阿格拉;;;;;;;;;;x
urban_athens;大都市-雅典;;;;;;;;;;x
urban_amman;大都市-安曼;;;;;;;;;;x
urban_amsterdam;大都市-阿姆斯特丹;;;;;;;;;;x
urban_ankara;大都市-安卡拉;;;;;;;;;;x
urban_ashgabat;大都市-阿什哈巴德;;;;;;;;;;x
