#  STRING NAME (do not change!);English;;;;;;;;;;X;;;;;;;
##;;;;;;;;;;;X;;;;;;;
# New World Order 2;;;;;;;;;;;X;;;;;;;
##;;;;;;;;;;;X;;;;;;;
# Events;;;;;;;;;;;X;;;;;;;
##;;;;;;;;;;;X;;;;;;;
AI_EVENT;ai event;;;;;;;;;;X;;;;;;;
EVT_1100_NAME;Oil Field;;;;;;;;;;X;;;;;;;
EVT_1100_DESC;The world's 932 giant oil and gas fields are considered those with 500 million barrels (79,000,000 m3) of ultimately recoverable oil or gas equivalent. Geoscientists believe these giants account for 40 percent of the world's petroleum reserves. They are clustered in 27 regions of the world, with the largest clusters in the Persian Gulf and Western Siberian Basin.;;;;;;;;;;X;;;;;;;
EVT_1100_A;We are fortunate!;;;;;;;;;;X;;;;;;;
EVT_8014272_NAME;Orient Our Position in South Asia;;;;;;;;;;X;;;;;;;
EVT_8014272_DESC;In South Asia, the Soviets saw the anti-colonial, socialist Indian state as a potential ally, quickly brushing off Pakistan overtures for military aid. The Indian PM was invited to visit to show their warming ties.;;;;;;;;;;X;;;;;;;
EVT_8014272_A;Invite the Indian PM;;;;;;;;;;X;;;;;;;
EVT_8015856_NAME;Offer Pakistan a Defence Pact;;;;;;;;;;X;;;;;;;
EVT_8015856_DESC;Pakistan was desperate for super power support to counter India, America wished to contain Soviet influence. After a series of high level meetings in the early 1950s, Pakistan convinced the US it would be a perfect anti-communist bulwark in South Asia;;;;;;;;;;X;;;;;;;
EVT_8015856_A;Offer Pakistan the Defence Pact;;;;;;;;;;X;;;;;;;
EVT_8015856_B;Might get expensive;;;;;;;;;;X;;;;;;;
EVT_8015857_NAME;Finalize Arms exports and ask for military access;;;;;;;;;;X;;;;;;;
EVT_8015857_DESC;After the 1954 agreement and Pakistan joining CENTO, the US setup a military training mission and began an extensive military aid and training mission. In 1957 the US also requested permission to use Pakistani air fields.;;;;;;;;;;X;;;;;;;
EVT_8015857_A;Ask permission, finish shipment of arms.;;;;;;;;;;X;;;;;;;
EVT_8015858_NAME;US Responds to South Asia Conflict;;;;;;;;;;X;;;;;;;
EVT_8015858_DESC;When fighting flared up in Kashmir, the US was furious at Pakistan for instigating conflict. They had been assured US arms would only be used against communists, not India. The resulting conflict saw the US suspend all arms shipments to both states. Pakistan was much more effected and betrayed than India.;;;;;;;;;;X;;;;;;;
EVT_8015858_A;We said only against communists!;;;;;;;;;;X;;;;;;;
EVT_8015859_NAME;India needs our help!;;;;;;;;;;X;;;;;;;
EVT_8015859_DESC;After India realized it was quite outmatched by China, Nehru swallowed his pride and begged western military support to prevent Chinese conquest. The US saw an opportunity to move India away from the Soviets and agreed to help, greatly angering Pakistan.;;;;;;;;;;X;;;;;;;
EVT_8015859_A;Accept India's pleas for help;;;;;;;;;;X;;;;;;;
EVT_8005017_NAME;Profumo affair;;;;;;;;;;X;;;;;;;
EVT_8005017_DESC;The Profumo affair was a British political scandal that originated with a brief sexual relationship in 1961 between John Profumo, the Secretary of State for War in Harold Macmillan's government, and Christine Keeler, a 19-year-old would-be model. In March 1963 Profumo denied any impropriety in a personal statement to the House of Commons, but was forced to admit the truth a few weeks later. He resigned from the government and from Parliament. The repercussions of the affair severely damaged Macmillan's self-confidence, and he resigned as prime minister on health grounds in October 1963. His Conservative Party was marked by the scandal, which may have contributed to its defeat by Labour in the 1964 general election.;;;;;;;;;;X;;;;;;;
EVT_8005017_A;This is bad!;;;;;;;;;;X;;;;;;;
EVT_8029720_NAME;Union of Tanganyika and Zanzibar;;;;;;;;;;X;;;;;;;
EVT_8029720_DESC;On 26 April 1964, Tanganyika united with Zanzibar to form the United Republic of Tanganyika and Zanzibar. The country was renamed the United Republic of Tanzania on 29 October of that year. The name Tanzania is a blend of Tanganyika and Zanzibar and previously had no significance. Under the terms of this union, the Zanzibar Government retains considerable local autonomy.;;;;;;;;;;X;;;;;;;
EVT_8029720_A;Form the Union;;;;;;;;;;X;;;;;;;
EVT_8029720_B;Leave them independent;;;;;;;;;;X;;;;;;;
EVT_8029721_NAME;Change name to Tanzania;;;;;;;;;;X;;;;;;;
EVT_8029721_DESC;On 26 April 1964, Tanganyika united with Zanzibar to form the United Republic of Tanganyika and Zanzibar. The country was renamed the United Republic of Tanzania on 29 October of that year. The name Tanzania is a blend of Tanganyika and Zanzibar and previously had no significance. Under the terms of this union, the Zanzibar Government retains considerable local autonomy.;;;;;;;;;;X;;;;;;;
EVT_8029721_A;Unite!;;;;;;;;;;X;;;;;;;
EVT_8011023_NAME;Pakistan Army Re-Organized;;;;;;;;;;X;;;;;;;
EVT_8011023_DESC;The 1947 Indo-Pakistan War saw both sides commit limited forces. After the war, the two nations had to establish new regiments and divisions from the units they inherited at Partition.;;;;;;;;;;X;;;;;;;
EVT_8011023_A;Finally, some Divisions;;;;;;;;;;X;;;;;;;
EVT_8011024_NAME;Pakistan Accepts Defence Pact;;;;;;;;;;X;;;;;;;
EVT_8011024_DESC;Pakistan finally got access to a major arms supplier and potential super power sponsor. Domestically, many, especially in East Pakistan saw the alignment to the west as selling out to the former colonial powers. The Non-Aligned Movement and Arab nationalists also were not impressed. The Pakistan military was very happy.;;;;;;;;;;X;;;;;;;
EVT_8011024_A;The Beginning of a wonderful relationship!;;;;;;;;;;X;;;;;;;
EVT_8011025_NAME;Grant US Permission and accept aid;;;;;;;;;;X;;;;;;;
EVT_8011025_DESC;After joining the Western bloc, Pakistan gained access to sophisticated military equipment, greatly improving their ability to resist Indian aggression. They also allowed the US to use Pakistan air bases.;;;;;;;;;;X;;;;;;;
EVT_8011025_A;Thanks, feel free to use the bases!;;;;;;;;;;X;;;;;;;
EVT_8011026_NAME;Gary Powers captured by Soviets;;;;;;;;;;X;;;;;;;
EVT_8011026_DESC;After the Soviets announced the plane had originally flown from Pakistan, Pakistan faced threats from the Soviets, as well as criticism domestically and from India for bringing the Cold War to South Asia. Pakistan-US relations took a hit as well.;;;;;;;;;;X;;;;;;;
EVT_8011026_A;Why didn't they warn us?;;;;;;;;;;X;;;;;;;
EVT_8011027_NAME;Sino-Pakistan Agreement;;;;;;;;;;X;;;;;;;
EVT_8011027_DESC;In comparison to border tensions with India, China and Pakistan managed to solve their border dispute and establish very close ties. This embarrassed India, especially since Pakistan handed China territory India claimed. The US also were upset at Pakistan warming to communist China.;;;;;;;;;;X;;;;;;;
EVT_8011027_A;Diplomatic Coup;;;;;;;;;;X;;;;;;;
EVT_8011028_NAME;Unrest over national language;;;;;;;;;;X;;;;;;;
EVT_8011028_DESC;In March 1948, Bengali students led strikes against the decision to make Urdu the only national language of Pakistan. This angered the Bengali majority in East Pakistan who resented the exclusion of their own language. Mohammad Ali Jinnah would insist on Urdu.;;;;;;;;;;X;;;;;;;
EVT_8011028_A;Urdu and Only Urdu;;;;;;;;;;X;;;;;;;
EVT_8011028_B;Their will be room for Bengali;;;;;;;;;;X;;;;;;;
EVT_8011029_NAME;1952 Language Unrest;;;;;;;;;;X;;;;;;;
EVT_8011029_DESC;The issue of Bengali as an official language exploded into strikes and violent protest following strong pro-Urdu statements from the Governor General.;;;;;;;;;;X;;;;;;;
EVT_8011029_A;Suppress Riots;;;;;;;;;;X;;;;;;;
EVT_8011030_NAME;Bengali added to Constitution as one of official languages of Pakistan!;;;;;;;;;;X;;;;;;;
EVT_8011030_DESC;On May 7th, 1954, the powerful Muslim League ended its opposition against Bengali as an official language, paving the way for its adoption as one of two national languages for Pakistan. While this helped reduce tensions between East and West Pakistan.;;;;;;;;;;X;;;;;;;
EVT_8011030_A;The state language of Pakistan shall be Urdu and Bengali;;;;;;;;;;X;;;;;;;
EVT_8011031_NAME;Sheikh Mujibur Rahman and Awami League Launch Six Point Movement!;;;;;;;;;;X;;;;;;;
EVT_8011031_DESC;These points called for the creation of separate currencies and separate military forces for both wings, and left the federal state with control of only diplomacy and defence. This was very popular in East Pakistan, and seen as treason by West Pakistanis;;;;;;;;;;X;;;;;;;
EVT_8011031_A;Accept Six Points as Future of Pakistan, Army furious;;;;;;;;;;X;;;;;;;
EVT_8011031_B;Six Points are Unacceptable! Army happy;;;;;;;;;;X;;;;;;;
EVT_8007275_NAME;Accepting the Soviet Invitation;;;;;;;;;;X;;;;;;;
EVT_8007275_DESC;The visit would begin a long, beneficial relationship between both states. The Soviets gained a powerful regional friend, while India gained support from a super power on Kashmir, Goa, and even the border dispute with the PRC.;;;;;;;;;;X;;;;;;;
EVT_8007275_A;Thank you!;;;;;;;;;;X;;;;;;;
EVT_8007276_NAME;America responds positively;;;;;;;;;;X;;;;;;;
EVT_8007276_DESC;While the Soviets were upset, India was quite happy to receive advanced US mountain warfare equipment to supply three divisions and restore military morale;;;;;;;;;;X;;;;;;;
EVT_8007276_A;Thank you!;;;;;;;;;;X;;;;;;;
EVT_8007274_NAME;Indian Army Re-Organized;;;;;;;;;;X;;;;;;;
EVT_8007274_DESC;The 1947 Indo-Pakistan War saw both sides commit limited forces. After the war, the two nations had to establish new regiments and divisions from the units they inherited at Partition.;;;;;;;;;;X;;;;;;;
EVT_8007274_A;Finally, some Divisions;;;;;;;;;;X;;;;;;;
EVT_8225006_NAME;Dissolution of the Soviet Union;;;;;;;;;;X;;;;;;;
EVT_8225006_DESC;The dissolution of the Soviet Union was formally enacted on December 26, 1991, as a result of the declaration no. 142-H of the Supreme Soviet of the Soviet Union, acknowledging the independence of the erstwhile Soviet republics and creating the Commonwealth of Independent States (CIS)  although five of the signatories ratified it much later or not at all. On the previous day, Soviet President Mikhail Gorbachev, the eighth and last leader of the Soviet Union, resigned, declared his office extinct, and handed over its powers  including control of the Soviet nuclear missile launching codes  to Russian President Boris Yeltsin. That evening at 7:32 p.m., the Soviet flag was lowered from the Kremlin for the last time and replaced with the pre-revolutionary Russian Flag.;;;;;;;;;;X;;;;;;;
EVT_8225006_A;It is inevitable;;;;;;;;;;X;;;;;;;
EVT_8028514_NAME;Congo under Massamba-Débat;;;;;;;;;;X;;;;;;;
EVT_8028514_DESC;The government of Massamba-Débat attempted to undertake a political economic strategy of "scientific socialism." By July 1964 Massamba-Débat's government had declared one-party rule under the National Movement of the Revolution and a campaign of nationalizations began. Internationally Massamba-Débat aligned his country with the USSR and Communist China and he allowed nominally communist guerrillas to base themselves on Congolese territory.;;;;;;;;;;X;;;;;;;
EVT_8028514_A;Science is the future!;;;;;;;;;;X;;;;;;;
EVT_8028514_B;Avoid to radical change;;;;;;;;;;X;;;;;;;
EVT_8028216_NAME;Proclamation of the Empire;;;;;;;;;;X;;;;;;;
EVT_8028216_DESC;In September 1976, Bokassa dissolved the government and replaced it with the Central African Revolutionary Council. On 4 December 1976, at the MESAN congress, Bokassa converted back to Catholicism and instituted a new constitution that transformed the republic into the Central African Empire (CAE), with himself as "His Imperial Majesty" Bokassa 1er. He was formally crowned in a formal coronation ceremony on 4 December 1977.;;;;;;;;;;X;;;;;;;
EVT_8028216_A;Celebrate the coronation!;;;;;;;;;;X;;;;;;;
EVT_8000000_NAME;New World Order;;;;;;;;;;X;;;;;;;
EVT_8000000_DESC;Welcome to the New World Order modification. The mod aims to provide more satisfying post-war experience with various historical and semi-historical events, enhanced accuracy of ruling cabinets and other tweaks. The mod is currently in the process of porting NWO1 so stay tuned for more content coming.;;;;;;;;;;X;;;;;;;
ALLIANCE_WESTERNBLOC_1945;Western Allies;;;;;;;;;;X;;;;;;;
ALLIANCE_EASTERNBLOC_1945;Eastern Allies;;;;;;;;;;X;;;;;;;
ALLIANCE_WESTERNBLOC_1949;NATO;;;;;;;;;;X;;;;;;;
ALLIANCE_EASTERNBLOC_1955;Warsaw Pact;;;;;;;;;;X;;;;;;;
GAME_END_WESTERNBLOC_1945_VICTORY;The game ended in a Western Allied victory.;;;;;;;;;;X;;;;;;;
GAME_END_EASTERNBLOC_1945_VICTORY;The game ended in an Eastern Allied victory.;;;;;;;;;;X;;;;;;;
GAME_END_WESTERNBLOC_1949_VICTORY;The game ended in a NATO victory.;;;;;;;;;;X;;;;;;;
GAME_END_EASTERNBLOC_1955_VICTORY;The game ended in a Warsaw Pact victory.;;;;;;;;;;X;;;;;;;
GAME_END_WESTERNBLOC_1945_TOTAL;The game ended in a total victory for Western Allies.;;;;;;;;;;X;;;;;;;
GAME_END_EASTERNBLOC_1945_TOTAL;The game ended in a total victory for Eastern Allied.;;;;;;;;;;X;;;;;;;
GAME_END_WESTERNBLOC_1949_TOTAL;The game ended in a total victory for NATO.;;;;;;;;;;X;;;;;;;
GAME_END_EASTERNBLOC_1955_TOTAL;The game ended in a total victory for Warsaw Pact.;;;;;;;;;;X;;;;;;;
