??Bourgeois_Coup_d'?tat!_desc; 上层地壳的国家必须赢得选举，而不是只有它们被选举，有一个政变领导层的国家。 你的国家，现在再次运行的丰富的，可能的神怜悯无产阶级在未来几年。;;;;;;;;;x
AAB;安提瓜和巴布达;;;;;;;;;x
AAB_ADJ;安提瓜的;;;;;;;;;x
AAB_communist;共产党;;;;;;;;;x
AAB_conservative;保守党;;;;;;;;;x
AAB_conservative_2;特里塔里奥;;;;;;;;;x
AAB_conservative_3;红党;;;;;;;;;x
AAB_conservative_4;蓝党;;;;;;;;;x
AAB_liberal;自由党;;;;;;;;;x
AAB_liberal_2;自由党;;;;;;;;;x
AAB_liberal_3;复辟党;;;;;;;;;x
AAB_liberal_4;绿党;;;;;;;;;x
AAB_liberal_5;进步党;;;;;;;;;x
AAB_populist;爱国党;;;;;;;;;x
AAB_progressive;自由党;;;;;;;;;x
AAB_socialist;工党;;;;;;;;;x
AAB_traditionalist;人民党;;;;;;;;;x
ABANDON_GAME;放弃游戏;;;;;;;;;x
ABK;阿布哈兹;;;;;;;;;x
ABK_ADJ;阿布哈兹的;;;;;;;;;x
ABK_communist;共产党;;;;;;;;;x
ABK_conservative;保守党;;;;;;;;;x
ABK_liberal;自由党;;;;;;;;;x
ABK_populist;爱国党;;;;;;;;;x
ABK_progressive;自由党;;;;;;;;;x
ABK_socialist;工党;;;;;;;;;x
ABK_traditionalist;人民党;;;;;;;;;x
ABU;阿布扎比;;;;;;;;;x
ABU_1162;阿布扎比;;;;;;;;;x
ABU_ADJ;阿布扎比的;;;;;;;;;x
ABU_communist;共产主义派;;;;;;;;;x
ABU_conservative;酋长委员会;;;;;;;;;x
ABU_conservative_2;停战酋长;;;;;;;;;x
ABU_liberal;自由主义派;;;;;;;;;x
ABU_populist;民族主义派;;;;;;;;;x
ABU_progressive;激进派;;;;;;;;;x
ABU_socialist;社会主义派;;;;;;;;;x
ABU_traditionalist;法西斯主义派;;;;;;;;;x
ABZ;安巴尚尼亚;;;;;;;;;x
ABZ_ADJ;安巴尚尼亚的;;;;;;;;;x
ABZ_communist;共产党;;;;;;;;;x
ABZ_conservative;保守党;;;;;;;;;x
ABZ_liberal;正义与自由党;;;;;;;;;x
ABZ_populist;人民党;;;;;;;;;x
ABZ_progressive;进步党;;;;;;;;;x
ABZ_socialist;社会民主党;;;;;;;;;x
ABZ_traditionalist;穆斯林兄弟会;;;;;;;;;x
ACCEPT;接受;;;;;;;;;x
ACTIVATE_GOODS;激活：;;;;;;;;;x
ACTIVATE_TECH_EFFECT;激活科技：?$NAME$?;;;;;;;;;x
ACTUAL_BOUGHT;实际购买：$VAL$;;;;;;;;;x
ACT_NO_SELF;我们不能和自己谈判。;;;;;;;;;x
ACT_WARDESC;战争允许你攻击对方的军队和占领对方的国土。战争将持续到其中的一方投降。;;;;;;;;;x
ACW_DESC;由于南方各州企图脱离联邦，内战在北美洲一触即发。内战的结果尚未可知，但可以预料到这会是一种崭新的战争模式??交战双方都拥有新近发明的铁路，电报和连发枪。与此同时，英国正在试验世界第一艘蒸汽动力的铁壳战舰，这无疑会引发一场海战革命。在全世界范围内，越来越多的国家竞相开展工业化，工业革命的速度越来越快。变革的时代来到了！;;;;;;;;;x
ACW_NAME;兄弟阋墙;;;;;;;;;x
ADAPTING_HISTORY;调节历史……;;;;;;;;;x
ADDTOSPHERETITLE;纳入势力范围;;;;;;;;;x
ADDTOSPHERE_BUTTON;纳入势力范围;;;;;;;;;x
ADDTOSPHERE_DESC;使该国加入我国的势力范围;;;;;;;;;x
ADDTOSPHERE_DI;纳入势力范围;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_1;?$RECIPIENT$?;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_2;$MONARCHTITLE$，我们获悉;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_3;?$RECIPIENT$?已经被;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_4;纳入?$ACTOR$?的势力范围。;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_5;*;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_6;*;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_BTN1;好的;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_BTN2;好的;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_BTN3;查看;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_HEADER;外相报告;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_LOG;$ACTOR$已经将$RECIPIENT$纳入他们的势力范围;;;;;;;;;x
ADDTOSPHERE_OTHER_ACCEPT_SETUP;当某国被纳入别国势力范围;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_1;?$RECIPIENT$?;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_2;$MONARCHTITLE$，我们已经将;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_3;?$RECIPIENT$?纳入我们的势力范围。;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_4;*;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_5;*;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_6;*;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_BTN1;好的;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_BTN2;好的;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_BTN3;查看;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_HEADER;外相报告;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_LOG;我们已经将$RECIPIENT$纳入我们的势力范围;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_MAP;纳入势力范围;;;;;;;;;x
ADDTOSPHERE_THEY_ACCEPT_SETUP;当某国被纳入我国势力范围;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_1;?$RECIPIENT$?;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_2;$MONARCHTITLE$，我们已经被;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_3;?$ACTOR$?纳入其势力范围。;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_4;*;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_5;*;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_6;*;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_BTN1;好的;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_BTN2;好的;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_BTN3;查看;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_HEADER;外相报告;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_LOG;$ACTOR$已经将我们纳入他们的势力范围;;;;;;;;;x
ADDTOSPHERE_WE_ACCEPT_MAP;被纳入势力范围;;;;;;;;;x
